Amount,Price,Rate,Time
1.0,2927149.22053841,2927149.22054,2022-07-09 14:43:34
1.0,2926942.07582841,2926942.07583,2022-07-09 14:43:35
1.0,2927244.45974851,2927244.45975,2022-07-09 14:43:36
1.0,2927700.32612175,2927700.32612,2022-07-09 14:43:37
1.0,2927580.04814851,2927580.04815,2022-07-09 14:43:38
1.0,2927569.56434851,2927569.56435,2022-07-09 14:43:39
1.0,2927655.34595011,2927655.34595,2022-07-09 14:43:40
1.0,2927264.14799116,2927264.14799,2022-07-09 14:43:41
1.0,2927665.19645011,2927665.19645,2022-07-09 14:43:42
1.0,2927265.40309116,2927265.40309,2022-07-09 14:43:43
1.0,2927259.21452291,2927259.21452,2022-07-09 14:43:44
1.0,2927259.21452291,2927259.21452,2022-07-09 14:43:45
1.0,2927434.79666621,2927434.79667,2022-07-09 14:43:46
1.0,2927293.0537943,2927293.05379,2022-07-09 14:43:47
1.0,2927293.0537943,2927293.05379,2022-07-09 14:43:48
1.0,2927293.0537943,2927293.05379,2022-07-09 14:43:49
1.0,2927487.63582309,2927487.63582,2022-07-09 14:43:50
1.0,2927314.61344289,2927314.61344,2022-07-09 14:43:51
1.0,2927314.61344289,2927314.61344,2022-07-09 14:43:52
1.0,2927371.76894963,2927371.76895,2022-07-09 14:43:53
1.0,2927339.03634963,2927339.03635,2022-07-09 14:43:54
1.0,2927339.03634963,2927339.03635,2022-07-09 14:43:55
1.0,2927338.84962617,2927338.84963,2022-07-09 14:43:56
1.0,2927317.17172617,2927317.17173,2022-07-09 14:43:57
1.0,2927317.17172617,2927317.17173,2022-07-09 14:43:58
1.0,2927316.98500271,2927316.985,2022-07-09 14:43:59
1.0,2928948.39737363,2928948.39737,2022-07-09 14:44:00
1.0,2928848.85390921,2928848.85391,2022-07-09 14:44:01
1.0,2928107.3339185,2928107.33392,2022-07-09 14:44:02
1.0,2928296.61064384,2928296.61064,2022-07-09 14:44:03
1.0,2927798.05802532,2927798.05803,2022-07-09 14:44:04
1.0,2928033.40508239,2928033.40508,2022-07-09 14:44:05
1.0,2928044.07672185,2928044.07672,2022-07-09 14:44:06
1.0,2928319.47127745,2928319.47128,2022-07-09 14:44:07
1.0,2928447.05661805,2928447.05662,2022-07-09 14:44:08
1.0,2929119.66820921,2929119.66821,2022-07-09 14:44:09
1.0,2929256.31925127,2929256.31925,2022-07-09 14:44:10
1.0,2929177.81605127,2929177.81605,2022-07-09 14:44:11
1.0,2929459.40709617,2929459.4071,2022-07-09 14:44:12
1.0,2928397.3163454,2928397.31635,2022-07-09 14:44:13
1.0,2928367.25435845,2928367.25436,2022-07-09 14:44:14
1.0,2928369.32635845,2928369.32636,2022-07-09 14:44:15
1.0,2928783.37815051,2928783.37815,2022-07-09 14:44:16
